wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
693.5,6.14E-06,0.9709152839,0.002500608616,1.04E-05,4.02E-07,0.9904760148,3.46E-14,0.8101672218,0.02857637395,0.0362760915,0,0,0,0,0.1082790352,0.003853386706
693.6,5.26E-06,0.9709251292,0.002653907249,1.05E-05,3.99E-07,0.9905713013,3.41E-14,0.7939850385,0.03322718125,0.0360078982,0,0,0,0,0.1082830355,0.00385381713
693.7,4.56E-06,0.9709890877,0.002817600831,1.05E-05,3.97E-07,0.990665275,3.34E-14,0.7735169529,0.03915910453,0.03575895632,0,0,0,0,0.1082872336,0.003854209935
693.8,3.99E-06,0.9711128629,0.002992744949,1.05E-05,3.94E-07,0.9907628337,3.28E-14,0.7487633925,0.04645047208,0.03553081586,0,0,0,0,0.108291678,0.003854548771
693.9,3.52E-06,0.9712982444,0.003180497328,1.06E-05,3.91E-07,0.99086529,3.22E-14,0.7198031254,0.05517933059,0.03532489518,0,0,3.42E-91,0,0.1082964173,0.003854817287
694,3.13E-06,0.9715242725,0.003381844661,1.06E-05,3.89E-07,0.990954366,3.17E-14,0.6867888116,0.06542220242,0.03514191796,0,0,3.48E-91,0,0.1083015,0.003854999131
694.1,2.80E-06,0.971774945,0.003597735177,1.07E-05,3.86E-07,0.9910146113,3.13E-14,0.6499698082,0.07725460881,0.03498272087,0,0,8.11E-92,0,0.1083069492,0.003855083644
694.2,2.51E-06,0.9720768374,0.003829134266,1.07E-05,3.83E-07,0.9910614762,3.09E-14,0.6097118357,0.09075344609,0.03484923403,0,0,0,0,0.108312686,0.003855082926
694.3,2.27E-06,0.9724509857,0.004077166629,1.08E-05,3.81E-07,0.9911132387,3.04E-14,0.5664743017,0.1059959891,0.03474347565,0,0,0,0,0.108318606,0.003855014769
694.4,2.06E-06,0.9728536873,0.004343577044,1.09E-05,3.79E-07,0.9911685864,2.97E-14,0.5207940628,0.1230575342,0.03466671763,0,0,4.34E-94,0,0.1083246046,0.003854896966
694.5,1.87E-06,0.9732407985,0.004630185553,1.10E-05,3.77E-07,0.9912226219,2.88E-14,0.4732913657,0.142012171,0.03461944792,0,0,0,1.66E-07,0.1083305774,0.003854747307
694.6,1.71E-06,0.9736311467,0.004938493183,1.10E-05,3.74E-07,0.9912756966,2.76E-14,0.4248222818,0.1628627283,0.03460189309,0,0,0,1.70E-07,0.1083364201,0.003854583585
